config,query_id,query_text,ap,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10
baseline,Q01,baby formula,0.0071428571428571435,0.0,0.0,0.0,0.1,0.07142857142857142,0.0636207881989517
baseline,Q02,infant formula,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,0.8925105396506825
baseline,Q03,milk allergy,0.5050736961451248,0.8,0.2857142857142857,0.6608397947263838,0.9,0.6428571428571429,0.7799082337019198
baseline,Q04,undeclared milk,0.7142857142857143,1.0,0.35714285714285715,1.0,1.0,0.7142857142857143,0.9575861412006988
baseline,Q05,peanut allergen,0.435515873015873,0.4,0.25,0.5531464700081437,0.5,0.625,0.6894606919419045
baseline,Q06,salmonella contamination,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
baseline,Q07,peanut butter salmonella,0.6514069264069263,0.8,0.36363636363636365,0.7112741403342752,0.8,0.7272727272727273,0.7794415744758125
baseline,Q08,metal fragments,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
baseline,Q09,foreign material,0.5,1.0,0.5,1.0,0.5,0.5,0.7104442085771869
baseline,Q10,lettuce recall,0.5,1.0,0.5,0.7738931964842558,0.5,0.5,0.5244475765944385
baseline,Q11,listeria,0.6666666666666666,1.0,0.3333333333333333,0.7020976466720956,1.0,0.6666666666666666,0.6603815843159473
baseline,Q12,ice cream listeria,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
baseline,Q13,ice cream recall,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
baseline,Q14,cronobacter,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
baseline,Q15,e coli,0.6,1.0,0.5,1.0,0.6,0.6,0.727329844310522
baseline,Q16,salad recall,0.5,1.0,0.5,0.7442890884191096,0.5,0.5,0.5287758723745503
baseline,Q17,potato salad recall,0.5857142857142856,1.0,0.5,1.0,0.6,0.6,0.7222954974312066
baseline,Q18,cheese listeria,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
baseline,Q19,mislabeling,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
baseline,Q20,sesame allergen,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,1.0
expansion,Q01,baby formula,0.7142857142857143,1.0,0.35714285714285715,1.0,1.0,0.7142857142857143,0.8546557236450505
expansion,Q02,infant formula,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,0.8925105396506825
expansion,Q03,milk allergy,0.5050736961451248,0.8,0.2857142857142857,0.6608397947263838,0.9,0.6428571428571429,0.7799082337019198
expansion,Q04,undeclared milk,0.7142857142857143,1.0,0.35714285714285715,1.0,1.0,0.7142857142857143,0.9575861412006988
expansion,Q05,peanut allergen,0.435515873015873,0.4,0.25,0.5531464700081437,0.5,0.625,0.6894606919419045
expansion,Q06,salmonella contamination,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
expansion,Q07,peanut butter salmonella,0.6514069264069263,0.8,0.36363636363636365,0.7112741403342752,0.8,0.7272727272727273,0.7794415744758125
expansion,Q08,metal fragments,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
expansion,Q09,foreign material,0.5,1.0,0.5,1.0,0.5,0.5,0.7104442085771869
expansion,Q10,lettuce recall,0.5,1.0,0.5,0.7738931964842558,0.5,0.5,0.5244475765944385
expansion,Q11,listeria,0.6666666666666666,1.0,0.3333333333333333,0.7020976466720956,1.0,0.6666666666666666,0.6603815843159473
expansion,Q12,ice cream listeria,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
expansion,Q13,ice cream recall,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
expansion,Q14,cronobacter,0.5,1.0,0.5,1.0,0.5,0.5,0.6489315753318465
expansion,Q15,e coli,0.6,1.0,0.5,1.0,0.6,0.6,0.727329844310522
expansion,Q16,salad recall,0.5,1.0,0.5,0.7442890884191096,0.5,0.5,0.5287758723745503
expansion,Q17,potato salad recall,0.5857142857142856,1.0,0.5,1.0,0.6,0.6,0.7222954974312066
expansion,Q18,cheese listeria,0.6,1.0,0.3333333333333333,1.0,0.9,0.6,0.9363792118010483
expansion,Q19,mislabeling,0.5,1.0,0.5,1.0,0.5,0.5,0.6776743599465253
expansion,Q20,sesame allergen,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,1.0
prf,Q01,baby formula,0.0071428571428571435,0.0,0.0,0.0,0.1,0.07142857142857142,0.0636207881989517
prf,Q02,infant formula,0.7692307692307693,1.0,0.38461538461538464,1.0,1.0,0.7692307692307693,0.8925105396506825
prf,Q03,milk allergy,0.5050736961451248,0.8,0.2857142857142857,0.6608397947263838,0.9,0.6428571428571429,0.7799082337019198
prf,Q04,undeclared milk,0.7142857142857143,1.0,0.35714285714285715,1.0,1.0,0.7142857142857143,0.9575861412006988
prf,Q05,peanut allergen,0.435515873015873,0.4,0.25,0.5531464700081437,0.5,0.625,0.6894606919419045
prf,Q06,salmonella contamination,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0
prf,Q07,peanut butter salmonella,0.6514069264069263,0.8,0.36363636363636365,0.7112741403342752,0.8,0.7272727272727273,0.7794415744758125
