query_id,doc_id,relevance
Q01,F-0763-2021,2
Q01,F-0921-2021,2
Q01,F-1021-2020,2
Q01,F-1671-2022,1
Q02,F-0763-2021,2
Q02,F-0921-2021,2
Q02,F-1021-2020,2
Q02,F-1671-2022,1
Q02,F-0764-2021,2
Q02,F-0291-2023,2
Q02,F-0765-2021,2
Q02,F-0989-2023,2
Q02,F-1247-2024,1
Q03,F-0846-2023,2
Q03,F-1478-2013,2
Q03,F-0617-2017,2
Q03,F-0765-2018,1
Q03,F-0440-2024,1
Q03,F-0842-2013,2
Q03,F-0841-2013,2
Q03,F-0839-2013,2
Q04,F-1478-2013,2
Q04,F-0121-2016,2
Q04,F-0617-2017,2
Q04,F-0489-2015,2
Q04,F-0765-2018,1
Q04,F-1536-2016,2
Q04,F-1537-2016,2
Q04,F-1461-2024,2
Q04,F-1287-2023,2
Q04,F-0857-2023,2
Q05,F-0506-2017,2
Q05,F-1230-2024,2
Q05,F-0028-2013,1
Q05,F-1327-2023,2
Q05,F-1321-2023,2
Q06,F-1126-2022,2
Q06,F-0678-2024,2
Q06,F-1116-2022,2
Q06,F-1245-2022,2
Q06,F-1233-2022,2
Q06,F-0569-2016,2
Q06,H-0644-2025,2
Q06,H-0645-2025,2
Q06,F-0590-2025,2
Q06,F-0813-2018,2
Q07,F-1126-2022,2
Q07,F-1340-2022,2
Q07,F-0140-2013,1
Q07,F-0426-2013,1
Q07,F-1365-2022,2
Q07,F-1311-2022,2
Q07,F-1310-2022,2
Q07,F-1369-2022,2
Q08,F-0894-2016,2
Q08,F-0889-2016,2
Q08,F-0867-2016,2
Q08,F-0857-2016,2
Q08,F-1884-2014,2
Q08,F-1378-2014,2
Q08,F-0654-2021,2
Q08,F-1004-2013,2
Q09,F-0523-2021,2
Q09,F-0527-2021,2
Q09,F-0521-2021,2
Q09,F-0293-2017,1
Q09,F-0689-2025,1
Q09,F-0255-2022,2
Q09,F-0257-2022,2
Q09,F-0264-2022,2
Q09,F-0263-2022,2
Q09,F-0253-2022,2
Q10,F-1068-2020,2
Q10,F-1052-2020,2
Q10,F-1062-2020,2
Q10,F-0757-2022,2
Q10,F-0777-2022,2
Q10,F-1431-2023,1
Q10,F-1074-2020,2
Q10,F-1137-2020,2
Q10,F-1109-2020,2
