query_id,query_text,config,rank,doc_id,recall_number,classification,status,state,product_description,reason_for_recall
Q01,baby formula,baseline,1,F-0651-2022,F-0651-2022,Class I,Terminated,CA,Ahold 6oz Baby Spinach Bag  Product UPC 688267010965  Kroger 10oz Baby Spinach Clamshell  Product UPC 011110910509  Kroger 1lb Organic Baby Spinach Clamshell  Product UPC 111110911513  Kroger 5oz Organic Baby Spinach Clamshell  Product UPC 111110911285  Kroger 6oz Baby Spinach Clamshell  Product UPC 011110910493  Dole 5.5oz Baby Spinach  Product UPC 071430009642  Lidl 11oz Baby Spinach Clamshell  Product UPC 4056489503552  Lidl 16oz Baby Spinach Clamshell  Product UPC 4056489210542  Lidl 6oz Baby Spinach  Product UPC 20737696  Dole 10oz Baby Spinach Clamshell  Product UPC 071430000168  Marketside 11oz Baby Spinach Clamshell  Product UPC 681131090254  Marketside 16oz Organic Baby Spinach Clamshell  Product UPC 681131085731  Marketside 5oz Organic Baby Spinach Clamshell  Product UPC 681131328982  Marketside 6oz Baby Spinach  Product UPC 681131027908  Naturally Better 16oz Organic Baby Spinach Clamshell  Product UPC 607880203417  Naturally Better 5oz Organic Baby Spinach Clamshell  Product UPC 607880203370  Natures Promise 10oz Organic Baby Spinach Clamshell  Product UPC 688267548864  Simply Nature 5oz Organic Baby Spinach Clamshell  Product UPC 4099100088564,Potential Listeria monocytogenes
Q01,baby formula,baseline,2,F-0576-2022,F-0576-2022,Class I,Terminated,IL,"""Organic Baby Spinach & Baby Kale Mix"" (salad product) packed in 5oz. packages",potential to be contaminated with Listeria monocytogenes
Q01,baby formula,baseline,3,F-0572-2022,F-0572-2022,Class I,Terminated,IL,"""Organic Baby Arugula & Baby Spinach"" (salad product) packed in 5oz. packages",potential to be contaminated with Listeria monocytogenes
Q01,baby formula,baseline,4,F-1117-2020,F-1117-2020,Class II,Terminated,FL,"Marketside Baby Greens Salad 6 oz., UPC 681131027922,  Baby spinach, carrots, baby lettuce blend & baby greens blend","Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora."
Q01,baby formula,baseline,5,F-0358-2025,F-0358-2025,Class I,Terminated,CA,"--- Organic Baby Carrots --- Orangic Baby Peeled Carrots 13/3 BL; Orangic Baby Peeled Carrots 30/1 BL; Org Baby Peeled Carrots 12/2 Wholesome Pantry RPC; Org Baby Peeled Carrots 24/1 Wholesome Pantry RPC; Organic Baby Peeled Carrots 10/2/2Lb Cal O Display; Organic Baby Peeled Carrots 10/2/2Lb. Cal Organic; Organic Baby Peeled Carrots 12/1 Bunny Luv; Organic Baby Peeled Carrots 12/1 LIDL; Organic Baby Peeled Carrots 12/12oz Good & Gather; Organic Baby Peeled Carrots 12/2 Bunny Luv; Organic Baby Peeled Carrots 12/2 COF; Organic Baby Peeled Carrots 12/2 Pres Choice RPC; Organic Baby Peeled Carrots 13/3 BL; Organic Baby Peeled Carrots 15/2 365; Organic Baby Peeled Carrots 15/2 365 RPC; Organic Baby Peeled Carrots 15/2 BL; Organic Baby Peeled Carrots 15/2 COF; Organic Baby Peeled Carrots 15/2 Safeway O-Organic; Organic Baby Peeled Carrots 15/2 Sprouts; Organic Baby Peeled Carrots 18/2 Kroger RPC; Organic Baby Peeled Carrots 20/2 LB Marketside RPC; Organic Baby Peeled Carrots 20/2 Wegmans RPC; Organic Baby Peeled Carrots 24/1 BL; Organic Baby Peeled Carrots 24/1 Cal-Organic Farm; Organic Baby Peeled Carrots 24/1 Cal-Organic RPC; Organic Baby Peeled Carrots 24/1 Full Circle; Organic Baby Peeled Carrots 24/1 Good & Gather; Organic Baby Peeled Carrots 24/1 Greenwise; Organic Baby Peeled Carrots 24/1 Natures Promise; Organic Baby Peeled Carrots 24/1 Pres Choice RPC; Organic Baby Peeled Carrots 24/1 Simple Truth RPC; Organic Baby Peeled Carrots 24/12oz Wegman's; Organic Baby Peeled Carrots 30/1 365; Organic Baby Peeled Carrots 30/1 365 RPC; Organic Baby Peeled Carrots 30/1 BL; Organic Baby Peeled Carrots 30/1 Cal-Organic Farm; Organic Baby Peeled Carrots 30/1 Compliments; Organic Baby Peeled Carrots 30/1 Purely Made RPC; Organic Baby Peeled Carrots 30/1 Safeway O-Organic; Organic Baby Peeled Carrots 30/1 Sprouts; Organic Baby Peeled Carrots 30/1 TJ Petites 036679; Organic Baby Peeled Carrots 4/5 BL; Organic Baby Peeled Carrots 40/1 Marketside RPC; Organic Baby Peeled Carrots 40/1 Wegman's RPC; Organic Baby Peeled Petite Carrots 12/12oz 365; Organic Baby Pld Carrots 12/12oz O-Organic Petites --- Brands --- 365, Bunny Luv, Cal-Organic, Compliments, Full Circle, Good & Gather, GreenWise, LIDL, Marketside, Nature's Promise, O Organics, President's Choice, Purely Made, Simple Truth, Sprouts, Trader Joe's, Wegmans, Wholesome Pantry",Potential contamination with E. coli O121:H19
Q01,baby formula,baseline,6,F-0317-2023,F-0317-2023,Class II,Terminated,NY,Wegmans Organic Baby Kale & Baby Spinach with Sweet Pea Leaves; 5 oz,Product(s) may be contaminated with Salmonella.
Q01,baby formula,baseline,7,F-0710-2022,F-0710-2022,Class I,Terminated,CA,Marketside 5oz Organic Baby Spinach & Baby Kale Clamshell  Product UPC 681131221290,Potential Listeria monocytogenes
Q01,baby formula,baseline,8,F-1609-2019,F-1609-2019,Class II,Terminated,MA,"TAYLOR FARMS ORGANIC BABY SPRING MIX & BABY SPINACH LETTUCES - 5.5OZ PACKAGE, UPC: 0223047612",Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.
Q01,baby formula,baseline,9,F-0357-2025,F-0357-2025,Class I,Terminated,CA,--- Organic Baby Carrots --- Organic Baby Peeled Carrots 12/12oz Steam-to-Serve; Organic Baby Peel Carrot12/12oz Steam-to-Serve RPC --- Brand --- Cal-Organic; Marketside,Potential contamination with E. coli O121:H19
Q01,baby formula,baseline,10,F-0045-2023,F-0045-2023,Class I,Terminated,TX,"Mother's Touch Complete Nutrition for New Babies Net WT. 13.8 OZ (391.6g) packaged in a white plastic circular container, 6 units per case",The product does not conform to the FDA's infant formula standards for sale in the United States.
Q01,baby formula,expansion,1,F-0763-2021,F-0763-2021,Class I,Terminated,CA,"Designed by Nature Cow's Milk Formula:  12 oz. plastic pouch.    Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.    UPC: 0 19962 28421 2","Products are deficient in multiple nutrients required for infant formula, and the firms contract manufacturer does not test for Cronobacter, a pathogen that can be particularly dangerous to infants and is sometimes found in powdered infant formulas."
Q01,baby formula,expansion,2,F-0291-2023,F-0291-2023,Class I,Terminated,NY,"By Heart Whole Nutrition Infant Formula, Net Wt. 24 oz. 680 g",Infant formula potentially contaminated with Cronobacter sakazakii
Q01,baby formula,expansion,3,F-0764-2021,F-0764-2021,Class I,Terminated,CA,"Designed by Nature Goat's Milk Formula:    Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.","Products are deficient in multiple nutrients required for infant formula, and the firms contract manufacturer does not test for Cronobacter, a pathogen that can be particularly dangerous to infants and is sometimes found in powdered infant formulas."
Q01,baby formula,expansion,4,F-0765-2021,F-0765-2021,Class I,Terminated,CA,"Designed by Nature Base Mix Formula:  .375 oz/11 g plastic pouch/  Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.  UPC: 0 19962 28411 3      www.designed-by-nature.com","Products are deficient in multiple nutrients required for infant formula, and the firms contract manufacturer does not test for Cronobacter, a pathogen that can be particularly dangerous to infants and is sometimes found in powdered infant formulas."
Q01,baby formula,expansion,5,F-0989-2023,F-0989-2023,Class II,Terminated,MD,TYR Anamix Early Years infant formula Net Wt. 14.1 oz (400g) UPC: 749735002186 Product is a powder packed metal cans. 6 cans per case.,Infant formula contains undeclared tyrosine
Q01,baby formula,expansion,6,F-1247-2024,F-1247-2024,Class I,Terminated,CA,"Sammy's Milk GOAT MILK TODDLER FORMULA, 25.68 oz (78g) pouch","FDA inspection and investigation of firm's website and social media pages found that Sammy's online marketing materials included misleading information that implied the product was safe for use as a sole source of nutrition for infants. Sammy's Milk has not submitted to FDA the premarket notification required for an infant formula, and the product is not manufactured in compliance with the infant formula requirements."
Q01,baby formula,expansion,7,F-1248-2024,F-1248-2024,Class I,Terminated,CA,"Sammy's Milk GOAT MILK TODDLER FORMULA, 0.64oz (18.2g) Stick Pak","FDA inspection and investigation of firm's website and social media pages found that Sammy's online marketing materials included misleading information that implied the product was safe as a sole source of nutrition for infants. Sammy's Milk has not submitted to FDA the premarket notification required for an infant formula, and the product is not manufactured in compliance with the infant formula requirements."
Q01,baby formula,expansion,8,F-0919-2021,F-0919-2021,Class II,Terminated,NV,Holle Goat Stage 1 Organic Infant Milk Formula,The required pre-market notifications for these new  infant formulas have not been submitted to the FDA.  All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.
